epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,96.1648,2.27066,5.26304,2.05449,0.00129,0.09341,0.00245,0.00083,2.14926,4.73615,2.07288,0.00123762,0.000412541,0.00123762,0.000412541,0.00123762,0.000412541,0.00123762,0.000412541
2,140.488,2.03874,4.9034,1.75798,0.35736,0.01902,0.02206,0.007,2.04948,4.38937,1.82474,0.00245244,0.000817481,0.00245244,0.000817481,0.00245244,0.000817481,0.00245244,0.000817481
3,182.199,1.91743,4.48506,1.66196,0.34194,0.04712,0.02784,0.00869,2.0348,4.57941,1.81332,0.0036319,0.00121063,0.0036319,0.00121063,0.0036319,0.00121063,0.0036319,0.00121063
4,222.374,1.87767,4.29345,1.61943,0.36581,0.07386,0.05046,0.01726,2.00651,4.32588,1.72943,0.00359089,0.00119696,0.00359089,0.00119696,0.00359089,0.00119696,0.00359089,0.00119696
5,263.145,1.84887,4.14945,1.5779,0.39056,0.07614,0.0584,0.01909,2.01409,4.02265,1.72545,0.00353786,0.00117929,0.00353786,0.00117929,0.00353786,0.00117929,0.00353786,0.00117929
6,303.241,1.84863,4.02585,1.55997,0.39126,0.07787,0.05715,0.01984,1.97103,3.7981,1.72965,0.00348482,0.00116161,0.00348482,0.00116161,0.00348482,0.00116161,0.00348482,0.00116161
7,343.645,1.83673,3.85331,1.55055,0.40805,0.09546,0.07472,0.0257,2.01168,3.51275,1.66868,0.00343179,0.00114393,0.00343179,0.00114393,0.00343179,0.00114393,0.00343179,0.00114393
8,384.098,1.81532,3.76517,1.51824,0.39483,0.09822,0.07569,0.02614,2.02648,3.37439,1.67712,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
9,425.621,1.79728,3.67929,1.50707,0.40025,0.1074,0.07275,0.02478,2.00604,3.30556,1.67605,0.00332571,0.00110857,0.00332571,0.00110857,0.00332571,0.00110857,0.00332571,0.00110857
10,467.059,1.79889,3.60203,1.4965,0.37903,0.11144,0.06517,0.02113,2.01022,3.36735,1.69689,0.00327268,0.00109089,0.00327268,0.00109089,0.00327268,0.00109089,0.00327268,0.00109089
11,508.312,1.80281,3.53963,1.50618,0.39808,0.09674,0.07444,0.02461,2.03739,3.21743,1.68393,0.00321964,0.00107321,0.00321964,0.00107321,0.00321964,0.00107321,0.00321964,0.00107321
12,549.66,1.78328,3.42917,1.50007,0.40776,0.10073,0.07724,0.02729,2.0255,3.22677,1.68126,0.00316661,0.00105554,0.00316661,0.00105554,0.00316661,0.00105554,0.00316661,0.00105554
13,590.768,1.77545,3.35645,1.48759,0.39471,0.11027,0.08072,0.02745,2.04593,3.19346,1.71268,0.00311357,0.00103786,0.00311357,0.00103786,0.00311357,0.00103786,0.00311357,0.00103786
14,630.866,1.76558,3.30888,1.47879,0.39375,0.10819,0.10061,0.02776,2.09358,3.21323,1.65574,0.00306054,0.00102018,0.00306054,0.00102018,0.00306054,0.00102018,0.00306054,0.00102018
15,671.374,1.78285,3.22419,1.46182,0.40686,0.10464,0.08492,0.02736,2.07078,3.27164,1.66312,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
16,711.298,1.74548,3.16504,1.46965,0.40302,0.10759,0.08198,0.02817,2.05482,3.24516,1.70911,0.00295446,0.000984821,0.00295446,0.000984821,0.00295446,0.000984821,0.00295446,0.000984821
17,751.91,1.74903,3.07618,1.46139,0.42582,0.12246,0.09762,0.0311,2.11117,3.21523,1.70777,0.00290143,0.000967143,0.00290143,0.000967143,0.00290143,0.000967143,0.00290143,0.000967143
18,792.839,1.74801,3.03426,1.45396,0.40391,0.11524,0.08786,0.02736,2.0886,3.20691,1.67996,0.00284839,0.000949464,0.00284839,0.000949464,0.00284839,0.000949464,0.00284839,0.000949464
19,833.235,1.77464,2.98517,1.45033,0.41047,0.11755,0.08176,0.02614,2.10556,3.2874,1.73255,0.00279536,0.000931786,0.00279536,0.000931786,0.00279536,0.000931786,0.00279536,0.000931786
20,873.423,1.74301,2.94171,1.44422,0.4092,0.12628,0.09089,0.02985,2.10432,3.25043,1.72904,0.00274232,0.000914107,0.00274232,0.000914107,0.00274232,0.000914107,0.00274232,0.000914107
21,913.992,1.73328,2.87955,1.44476,0.39153,0.11482,0.09284,0.02859,2.15623,3.30684,1.76327,0.00268929,0.000896429,0.00268929,0.000896429,0.00268929,0.000896429,0.00268929,0.000896429
22,954.198,1.74238,2.81338,1.4371,0.39046,0.12904,0.10338,0.03085,2.14166,3.27558,1.75788,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
23,994.215,1.73746,2.7807,1.43299,0.40327,0.11708,0.09016,0.02976,2.17759,3.2446,1.73931,0.00258321,0.000861071,0.00258321,0.000861071,0.00258321,0.000861071,0.00258321,0.000861071
24,1034.69,1.73932,2.76513,1.428,0.40561,0.1287,0.09426,0.02963,2.17429,3.28908,1.76754,0.00253018,0.000843393,0.00253018,0.000843393,0.00253018,0.000843393,0.00253018,0.000843393
25,1075.62,1.71905,2.69306,1.43492,0.40434,0.11876,0.09275,0.02946,2.17485,3.29834,1.76052,0.00247714,0.000825714,0.00247714,0.000825714,0.00247714,0.000825714,0.00247714,0.000825714
26,1115.61,1.72366,2.62951,1.42475,0.42765,0.12353,0.08888,0.02862,2.19152,3.28914,1.72799,0.00242411,0.000808036,0.00242411,0.000808036,0.00242411,0.000808036,0.00242411,0.000808036
27,1155.34,1.72963,2.60723,1.42824,0.40358,0.11814,0.08413,0.02689,2.18908,3.33739,1.76785,0.00237107,0.000790357,0.00237107,0.000790357,0.00237107,0.000790357,0.00237107,0.000790357
28,1195.54,1.71262,2.54671,1.4076,0.39711,0.13374,0.08742,0.02712,2.20389,3.36646,1.78272,0.00231804,0.000772679,0.00231804,0.000772679,0.00231804,0.000772679,0.00231804,0.000772679
29,1235.37,1.70531,2.51594,1.40206,0.41585,0.12492,0.08554,0.02671,2.21372,3.34013,1.78449,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
30,1275.05,1.71725,2.46173,1.40739,0.41061,0.11713,0.08828,0.0274,2.20538,3.37521,1.77855,0.00221196,0.000737321,0.00221196,0.000737321,0.00221196,0.000737321,0.00221196,0.000737321
31,1314.82,1.72228,2.45677,1.40823,0.41876,0.13408,0.09514,0.02964,2.2023,3.35809,1.82011,0.00215893,0.000719643,0.00215893,0.000719643,0.00215893,0.000719643,0.00215893,0.000719643
32,1354.89,1.70948,2.43098,1.39158,0.3986,0.12731,0.08184,0.02579,2.23325,3.36855,1.7734,0.00210589,0.000701964,0.00210589,0.000701964,0.00210589,0.000701964,0.00210589,0.000701964
33,1395.91,1.69856,2.36927,1.39524,0.41135,0.1299,0.0894,0.02772,2.27865,3.41018,1.8418,0.00205286,0.000684286,0.00205286,0.000684286,0.00205286,0.000684286,0.00205286,0.000684286
34,1435.84,1.69437,2.33836,1.38557,0.42007,0.12265,0.08466,0.02713,2.26959,3.40268,1.83026,0.00199982,0.000666607,0.00199982,0.000666607,0.00199982,0.000666607,0.00199982,0.000666607
35,1476.24,1.69073,2.26049,1.3903,0.39841,0.13611,0.08935,0.02675,2.25508,3.40342,1.82492,0.00194679,0.000648929,0.00194679,0.000648929,0.00194679,0.000648929,0.00194679,0.000648929
36,1516.19,1.68203,2.26758,1.38618,0.41493,0.12129,0.08953,0.02865,2.25825,3.40035,1.80624,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
37,1556.29,1.69667,2.25789,1.38907,0.40839,0.13118,0.091,0.02841,2.23213,3.42246,1.82081,0.00184071,0.000613571,0.00184071,0.000613571,0.00184071,0.000613571,0.00184071,0.000613571
38,1596.17,1.66704,2.24044,1.38458,0.41688,0.13345,0.08775,0.02695,2.2811,3.41724,1.85082,0.00178768,0.000595893,0.00178768,0.000595893,0.00178768,0.000595893,0.00178768,0.000595893
39,1636.48,1.67731,2.20059,1.37691,0.40805,0.12181,0.08257,0.02728,2.27617,3.4457,1.84678,0.00173464,0.000578214,0.00173464,0.000578214,0.00173464,0.000578214,0.00173464,0.000578214
40,1676.7,1.66733,2.20584,1.38601,0.40611,0.12236,0.08203,0.02628,2.27342,3.45472,1.82325,0.00168161,0.000560536,0.00168161,0.000560536,0.00168161,0.000560536,0.00168161,0.000560536
41,1717.49,1.65794,2.15638,1.37229,0.40718,0.12982,0.07743,0.02383,2.29945,3.47928,1.84469,0.00162857,0.000542857,0.00162857,0.000542857,0.00162857,0.000542857,0.00162857,0.000542857
42,1757.61,1.65892,2.12432,1.36158,0.408,0.12349,0.08006,0.02549,2.2877,3.53014,1.81997,0.00157554,0.000525179,0.00157554,0.000525179,0.00157554,0.000525179,0.00157554,0.000525179
43,1797.88,1.6664,2.11753,1.37018,0.4077,0.11492,0.08179,0.02548,2.27555,3.54278,1.8338,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
44,1837.55,1.65498,2.07493,1.35534,0.40086,0.13207,0.08406,0.02605,2.32577,3.47879,1.85416,0.00146946,0.000489821,0.00146946,0.000489821,0.00146946,0.000489821,0.00146946,0.000489821
45,1878.13,1.67446,2.06279,1.35351,0.41046,0.12989,0.08151,0.02521,2.32703,3.49929,1.8408,0.00141643,0.000472143,0.00141643,0.000472143,0.00141643,0.000472143,0.00141643,0.000472143
46,1919.33,1.65359,2.05037,1.34469,0.4082,0.12749,0.08338,0.02617,2.30667,3.5043,1.87334,0.00136339,0.000454464,0.00136339,0.000454464,0.00136339,0.000454464,0.00136339,0.000454464
47,1960.57,1.63313,2.02829,1.34956,0.40465,0.13282,0.08072,0.02475,2.30944,3.53306,1.88202,0.00131036,0.000436786,0.00131036,0.000436786,0.00131036,0.000436786,0.00131036,0.000436786
48,2000.98,1.63203,2.00477,1.35374,0.39387,0.12215,0.07363,0.02312,2.33709,3.55507,1.86694,0.00125732,0.000419107,0.00125732,0.000419107,0.00125732,0.000419107,0.00125732,0.000419107
49,2041.19,1.63537,1.98578,1.3466,0.39894,0.12744,0.08155,0.02498,2.34975,3.53266,1.89433,0.00120429,0.000401429,0.00120429,0.000401429,0.00120429,0.000401429,0.00120429,0.000401429
50,2081.14,1.61233,1.94057,1.33411,0.39575,0.12389,0.07242,0.02262,2.32795,3.58319,1.87423,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
51,2121.57,1.62302,1.93252,1.3365,0.40967,0.13606,0.08231,0.02578,2.3333,3.52608,1.88653,0.00109821,0.000366071,0.00109821,0.000366071,0.00109821,0.000366071,0.00109821,0.000366071
52,2161.85,1.60873,1.90378,1.33473,0.40465,0.12236,0.07701,0.02391,2.32743,3.61913,1.88971,0.00104518,0.000348393,0.00104518,0.000348393,0.00104518,0.000348393,0.00104518,0.000348393
53,2202.01,1.62018,1.89538,1.3426,0.38778,0.13761,0.07949,0.025,2.36796,3.56789,1.90551,0.000992143,0.000330714,0.000992143,0.000330714,0.000992143,0.000330714,0.000992143,0.000330714
54,2242.3,1.63016,1.90278,1.34067,0.38729,0.1305,0.07409,0.024,2.35179,3.61011,1.88281,0.000939107,0.000313036,0.000939107,0.000313036,0.000939107,0.000313036,0.000939107,0.000313036
55,2282.76,1.60016,1.83952,1.32899,0.41123,0.12947,0.08231,0.02623,2.33965,3.62896,1.91418,0.000886071,0.000295357,0.000886071,0.000295357,0.000886071,0.000295357,0.000886071,0.000295357
